Name,Language,Age,Date,Start Time,End Time,Venue,Price,Location,Link
«Harry Potter and wizards of Tynda Music»,,6+,15.12.2024,19:00,20:30,Heydar Aliyev Palace,25 ₼,"Bulbul avenue 35, Baku, Azerbaijan",https://iticket.az/en/events/concerts/harry-potter-and-wizards-of-tynda-music/133680
Lənkəran Xanının Vəziri,Azərbaycanca,15+,15.12.2024,19:00,20:00,Shusha State Musical Drama Theatre,7 ₼,"48 Suleiman Sani Akhundov street, Binagadi district, Baku",https://iticket.az/en/events/theatre/lenkeran-xaninin-veziri/137854
Arabic Night,Multilingual,16+,16.12.2024,20:00,23:00,Hayal Kahvesi,10 ₼,"Park Bulvar Shopping Mall, Neftchiler pr.1, Baku, Azerbaijan",https://iticket.az/en/events/hayal-kahvesi/arabic-nightV/137795
Madteen & Rəssam,Azərbaycanca,18+,15.12.2024,21:00,23:00,Hayal Kahvesi,50 ₼,"Park Bulvar Shopping Mall, Neftchiler pr.1, Baku, Azerbaijan",https://iticket.az/en/events/hayal-kahvesi/madteen-and-ressam3/130733
Ahsan Dadasov 100,Azərbaycanca,12+,19.12.2024,19:00,21:00,International Mugham Center,5 ₼,"Boulevard, Neftchilar Avenue 9, Baku, Azerbaijan",https://iticket.az/en/events/concerts/ahsan-dadasov-100/137796
Aliqulu is Getting Married Today,Azərbaycanca,6+,19.12.2024,19:00,20:30,Azerbaijan State Academic Musical Theatre,8 ₼,"Zarifa Aliyeva Street 8, Baku, Azerbaijan",https://iticket.az/en/events/theatre/aliqulu-is-getting-married-today/136764
"Concert within the framework of the ""New Names"" project",Azərbaycanca,6+,17.12.2024,19:00,20:30,Azerbaijan State Academic Philharmonic Hall,4 ₼,"Istiglaliyyat Street 10, Baku, Azerbaijan",https://iticket.az/en/events/concerts/concert-within-the-framework-of-the-new-names-project1/135675
Offer,Azərbaycanca,12+,15.12.2024,19:00,20:00,Azerbaijan State Yugh Theater (in the building of the Puppet Theater),5 ₼,N/A,https://iticket.az/en/events/theatre/offer2/135163
N/A,,,,,,,7 ₼,N/A,https://iticket.az/en/events/theatre/london
N/A,,,,,,Free Children,14 ₼,Academician Mustafa Topchubashov 21,https://iticket.az/en/events/master-class/creative-master-class-for-kids
My woman,Azərbaycanca,18+,16.12.2024,19:00,20:30,Ganja State Philharmonic Hall named after Fikret Amirov,7 ₼,135 Attarlar street,https://iticket.az/en/events/theatre/my-woman-ganca/129840
New Baku night party,Azərbaycanca,18+,19.12.2024,19:00,23:30,Hayal Kahvesi,10 ₼,"Park Bulvar Shopping Mall, Neftchiler pr.1, Baku, Azerbaijan",https://iticket.az/en/events/hayal-kahvesi/new-baku-night-party/135822
I Am Feurbach,Azərbaycanca,16+,18.12.2024,19:00,19:50,National Theatre of Young Spectators,10 ₼,"Nizami Street 72, Baku, Azerbaijan",https://iticket.az/en/events/theatre/i-am-feurbach/135523
KomediMən,Azərbaycanca,6+,16.12.2024,20:00,22:00,Heydar Aliyev Palace,20 ₼,"Bulbul avenue 35, Baku, Azerbaijan",https://iticket.az/en/events/concerts/komedimen-24
It is my homeland. My homeland.,Azərbaycanca,12+,18.12.2024,19:00,21:00,International Mugham Center,5 ₼,"Boulevard, Neftchilar Avenue 9, Baku, Azerbaijan",https://iticket.az/en/events/concerts/it-is-my-homeland-my-homeland/137794
The Devil and...,Azərbaycanca,12+,19.12.2024,19:00,20:30,Academic National Drama Theatre,10 ₼,"Füzuli Street 1, Baku, Azerbaijan",https://iticket.az/en/events/theatre/the-devil-and-mdt
Elnara Abdullayeva,Azərbaycanca,6+,18.12.2024,20:00,21:30,Heydar Aliyev Palace,35 ₼,"Bulbul avenue 35, Baku, Azerbaijan",https://iticket.az/en/events/concerts/elnara-abdullayeva/135669
Hen-party,Multilingual,16+,17.12.2024,17:00,21:00,Hayal Kahvesi,15 ₼,"Park Bulvar Shopping Mall, Neftchiler pr.1, Baku, Azerbaijan",https://iticket.az/en/events/hayal-kahvesi/hen-party/136125
N/A,,,,,,Free Children,15 ₼,Academician Mustafa Topchubashov 21,https://iticket.az/en/events/kids/neon-creativity
